X,Y,OBJECTID,Type,Detail_Type,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,name,Ownership,Management,Surface,Use_,Condition,Lat,Long
-84.402374067419515,42.943504831505635,10330,Campground,State Park,Rose Lake,Clinton,Sleepy Hollow State Park,Modern,203,0,Sleepy Hollow State Park  ,State,DNR,Dirt,Recreation,Unknown,42.94230668,-84.40377287
-84.403789863984073,42.934447559839207,10331,Campground,State Park,Rose Lake,Clinton,Sleepy Hollow State Park,Organizational,1,0,Sleepy Hollow State Park  ,State,DNR,Dirt,Recreation,Unknown,42.93331759,-84.39831782
-83.847234907164648,42.502180488301924,5986,Campground,State Park,Rose Lake,Livingston,Brighton Recreation Area,Modern,144,0,Brighton Recreation Area Bishop Lake,State,DNR,Dirt,Recreation,Unknown,42.50217232,-83.84723023
-83.840794694449642,42.497438796970506,5987,Campground,State Park,Rose Lake,Livingston,Brighton Recreation Area,Organizational,10,0,Brighton Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.49743063,-83.84079002
-83.817287769486512,42.507245957688511,5988,Campground,State Park,Rose Lake,Livingston,Brighton Recreatino Area,Rustic,25,0,Brighton Recreatino Area Murray Lake,State,DNR,Dirt,Recreation,Unknown,42.50723779,-83.8172831
-83.834514055952567,42.506583185989918,5989,Campground,State Park,Rose Lake,Livingston,Brighton Recreation Area,Rustic,25,0,Brighton Recreation Area Appleton Lake,State,DNR,Dirt,Recreation,Unknown,42.50657502,-83.83450939
-82.515547271622978,42.654092798668458,5990,Campground,State Park,Pontiac,St. Clair,Algonac State Park,Modern,219,0,Algonac State Park Riverfront,State,DNR,Dirt,Recreation,Unknown,42.65408454,-82.51554299
-82.522891448567492,42.656144472910796,5991,Campground,State Park,Pontiac,St. Clair,Algonac State Park,Modern,75,3,Algonac State Park Wagonwheel,State,DNR,Dirt,Recreation,Unknown,42.65613621,-82.52288717
-82.525826317715911,42.658166734840137,5992,Campground,State Park,Pontiac,St. Clair,Algonac State Park,Organizational,2,0,Algonac State Park  ,State,DNR,Dirt,Recreation,Unknown,42.65815848,-82.52582204
-84.465666231110092,45.517318237797589,5993,Campground,State Park,Gaylord,Cheboygan,Aloha State Park,Modern,297,13,Aloha State Park  ,State,DNR,Dirt,Recreation,Unknown,45.5173096,-84.46566105
-88.500494871626671,46.761499753593618,5994,Campground,State Park,Baraga,Baraga,Baraga State Park,"Modern
Modern",120,0,Baraga State Park  ,State,DNR,Dirt,Recreation,Unknown,46.76149118,-88.50048828
-83.902079301664756,43.664368271606861,5995,Campground,State Park,Bay City,Bay,Bay City Recreation Area,Modern,184,0,Bay City Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,43.66435991,-83.9020745
-83.90163826674241,43.663376621560296,5996,Campground,State Park,Bay City,Bay,Bay City Recreation Area,Organizational,2,0,Bay City Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,43.66336826,-83.90163346
-88.433622743825367,46.08878706809206,5997,Campground,State Park,Baraga,Iron,Bewabic State Park,Modern,148,0,Bewabic State Park  ,State,DNR,Dirt,Recreation,Unknown,46.08877859,-88.43361627
-84.554552198261206,46.416695533677412,5998,Campground,State Park,Gaylord,Chippewa,Brimley State Park,Modern,272,0,Brimley State Park  ,State,DNR,Dirt,Recreation,Unknown,46.41668676,-84.55454688
-84.559700767672197,46.41382902479279,5999,Campground,State Park,Gaylord,Chippewa,Brimley State Park,Organizational,3,0,Brimley State Park  ,State,DNR,Dirt,Recreation,Unknown,46.41382025,-84.55969545
-84.629974305596704,45.400587431248212,6000,Campground,State Park,Gaylord,Cheboygan,Burt Lake State Park,Modern,303,7,Burt Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,45.40057882,-84.62996909
-84.625531550402229,45.403087219131223,6001,Campground,State Park,Gaylord,Cheboygan,Burt Lake State Park,Organizational,3,0,Burt Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,45.40307861,-84.62552633
-84.418875519856357,45.658081681834076,6002,Campground,State Park,Gaylord,Cheboygan,Cheboygan State park,Modern,74,0,Cheboygan State park  ,State,DNR,Dirt,Recreation,Unknown,45.65807302,-84.41887034
-84.419197420367695,45.647428972831726,6003,Campground,State Park,Gaylord,Cheboygan,Cheboygan State Park,Organizational,6,0,Cheboygan State Park  ,State,DNR,Dirt,Recreation,Unknown,45.64742031,-84.41919224
-84.183926212503351,45.132022389213709,6004,Campground,State Park,Gaylord,Montmorency,Clear Lake State Park,Modern,199,0,Clear Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,45.1320138,-84.18392116
-84.187633161685469,45.132251018205906,6005,Campground,State Park,Gaylord,Montmorency,Clear Lake State Park,Organizational,3,0,Clear Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,45.13224243,-84.18762811
-86.669155104192868,45.711658058650954,6006,Campground,State Park,Baraga,Delta,Fayette State Park,Semi Modern,63,2,Fayette State Park  ,State,DNR,Dirt,Recreation,Unknown,45.71164952,-86.66914922
-85.311608174591456,45.305484330073675,6007,Campground,State Park,Gaylord,Charlevoix,Fisherman's Island State Park,Rustic,35,0,Fisherman's Island State Park North,State,DNR,Dirt,Recreation,Unknown,45.30547578,-85.31160276
-85.334230584016254,45.289929159473495,6008,Campground,State Park,Gaylord,Charlevoix,Fisherman's Island State Park,Rustic,35,0,Fisherman's Island State Park South,State,DNR,Dirt,Recreation,Unknown,45.28992061,-85.33422516
-85.348422696942691,42.317794096963851,6009,Campground,State Park,Plainwell,Kalamazoo,Fort Custer Recreation Area,Modern,217,11,Fort Custer Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.31778604,-85.34841758
-85.357591691525485,42.324173892754537,6010,Campground,State Park,Plainwell,Kalamazoo,Fort Custer Recreation Area,Organizational,5,0,Fort Custer Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.32416584,-85.35758658
-85.356956230770678,42.313155516761348,6011,Campground,State Park,Plainwell,Kalamazoo,Fort Custer Recreation Area,Organizational,2,0,Fort Custer Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.31314746,-85.35695112
-87.859143057790874,47.466074305957946,6012,Campground,State Park,Baraga,Keweenaw,Fort Wilkins State Park,Modern,81,0,Fort Wilkins State Park East,State,DNR,Dirt,Recreation,Unknown,47.46606558,-87.85913657
-87.869702011329977,47.466445995988266,6013,Campground,State Park,Baraga,Keweenaw,Fort Wilkins State Park,Modern,78,0,Fort Wilkins State Park West,State,DNR,Dirt,Recreation,Unknown,47.46643727,-87.86969552
-87.877551784940636,47.466009886127871,6014,Campground,State Park,Baraga,Keweenaw,Fort Wilkins State Park,Organizational,5,0,Fort Wilkins State Park  ,State,DNR,Dirt,Recreation,Unknown,47.46600117,-87.87754529
-86.24806630666842,43.056939999601219,6015,Campground,State Park,Plainwell,Ottawa,Grand Haven State Park,Modern,198,5,Grand Haven State Park  ,State,DNR,Dirt,Recreation,Unknown,43.05693187,-86.24806085
-83.294039646208333,44.648963429533701,6016,Campground,State Park,Roscommon,Alcona,Harrisville State Park,Modern,195,0,Harrisville State Park  ,State,DNR,Dirt,Recreation,Unknown,44.64895487,-83.29403493
-84.684924664078025,44.737659661443907,6017,Campground,State Park,Roscommon,Crawford,Hartwick Pines State Park,Modern,103,6,Hartwick Pines State Park  ,State,DNR,Dirt,Recreation,Unknown,44.73765116,-84.6849195
-84.644493106074435,44.73314608958642,6018,Campground,State Park,Roscommon,Crawford,Hartwick Pines State Park,Organizational,9,0,Hartwick Pines State Park  ,State,DNR,Dirt,Recreation,Unknown,44.73313759,-84.64448796
-83.543883437703698,42.635574242306944,6019,Campground,State Park,Pontiac,Oakland,Highland Recreation Area,Equestrian,25,0,Highland Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.63556604,-83.54387884
-83.556237740541377,42.632819129199667,6020,Campground,State Park,Pontiac,Oakland,Highland Recreation Area,Organizational,6,0,Highland Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.63281093,-83.55623314
-83.886040199956128,45.468311918420248,6021,Campground,State Park,Gaylord,Presque Isle,Hoeft State Park,Modern,141,0,Hoeft State Park  ,State,DNR,Dirt,Recreation,Unknown,45.46830326,-83.88603521
-83.881430673264774,45.464935895617394,6022,Campground,State Park,Gaylord,Presque Isle,Hoeft State Park,Organizational,1,0,Hoeft State Park  ,State,DNR,Dirt,Recreation,Unknown,45.46492724,-83.88142568
-86.273830732952518,43.13743388228054,6023,Campground,State Park,Plainwell,Muskegon,Hoffmaster State Park,Modern,293,0,Hoffmaster State Park  ,State,DNR,Dirt,Recreation,Unknown,43.13742574,-86.27382526
-86.261763484705583,43.125125606042083,6024,Campground,State Park,Plainwell,Muskegon,Hoffmaster State Park,Organizational,2,0,Hoffmaster State Park  ,State,DNR,Dirt,Recreation,Unknown,43.12511746,-86.26175802
-86.207101827981916,42.775325413907282,6025,Campground,State Park,Plainwell,Ottawa,Holland State Park,Modern,110,11,Holland State Park Lake Macatawa,State,DNR,Dirt,Recreation,Unknown,42.77531733,-86.20709641
-86.200381941245013,42.779825976483103,6026,Campground,State Park,Plainwell,Ottawa,Holland State Park,Modern,61,8,Holland State Park Beach,State,DNR,Dirt,Recreation,Unknown,42.77981789,-86.20037653
-83.523202177829674,42.825491904893937,6027,Campground,State Park,Bay City,Oakland,Holly Recreation Area,Modern,144,2,Holly Recreation Area Mcginnis Lake,State,DNR,Dirt,Recreation,Unknown,42.82548367,-83.52319757
-83.530732894534736,42.8250155421551,6028,Campground,State Park,Bay City,Oakland,Holly Recreation Area,Modern,15,0,Holly Recreation Area Mcginnis Lake,State,DNR,Dirt,Recreation,Unknown,42.82500731,-83.53072829
-83.513271458494401,42.818004874957936,6029,Campground,State Park,Bay City,Oakland,Holly Recreation Area,Organizational,5,0,Holly Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.81799664,-83.51326686
-86.328437453296218,45.946171682206206,6030,Campground,State Park,Baraga,Schoolcraft,Inidan Lakes State Park,Modern,131,10,Inidan Lakes State Park South,State,DNR,Dirt,Recreation,Unknown,45.94616309,-86.32843164
-86.361044453682055,45.970416988919489,6031,Campground,State Park,Baraga,Schoolcraft,Indian Lakes State Park,Semi Modern,56,0,Indian Lakes State Park West,State,DNR,Dirt,Recreation,Unknown,45.97040839,-86.36103863
